No;Country;Study names;Site;SiteID;SiteUniID;urb_pc_use(%);Lat;Lon;map;aet;pet;aet_p;pet_p;dwt;Tsamp;Zpeak1963;PERC;cxtfit_v;cxtfit_D;cxtfit_R2;Validity;SimpleModel;ComplexModel
1;UK;Berkshire, UK;Berkshire;UK;16;1;51.48;-1.4;706;513;678;0.7;1;45;1968;4;0.832;0.803;0.113;0.767;-3;-1.5;-9.8
2;Cyprus;Akrotiri, CY;Akrotiri;AK3;5;20;34.62;32.97;426;360;1299;0.8;3;13;1977;10;0.72;0.587;1.452;0.801;-38;7.8;-12.1
3;USA;Yucca1, US;Yucca Mountain, Nevada;UZ#4;10;0;36.93;-116.48;201;174;1261;0.9;6.3;624;1984;54;2.56;2.249;0.291;0.328;38;44.6;39.9
4;USA;Yucca2, US;Yucca Mountain, Nevada;UZ#5;10;0;36.93;-116.48;201;174;1261;0.9;6.3;624;1984;28;1.34;1.257;0.635;0.35;44;44.6;39.9
5;Senegal;Louga, SN;Louga;L22;3;0;15.7;-16.32;345;290;1753;0.8;5.1;34;1990;11;0.41;0.4;0.123;0.891;25;39.1;-4.2
6;USA;Amargosa, US;Amargosa Desert, Nevada;UZB-1;9;0;36.77;-116.7;150;129;1370;0.9;9.1;140;1992;21;0.71;0.648;2.637;0.895;74;51.0;82.8
7;USA;Mojave, US;Mojave Desert, California;LOGW-1;4;22;34.45;-117.33;556;453;1356;0.8;2.4;77;1995;12;0.39;0.12;3.13;0.31;13;26.0;34.1
8;China;Pingding1, CN;Pingding, Shaanxi;CHN85;12;25;37.68;113.68;502;431;1036;0.9;2.1;115;1985;6;0.267;0.25;0.08;0.926;69;40.8;62.6
9;China;Pingding2, CN;Pingding, Shaanxi;CHN98;12;25;37.68;113.68;502;431;1036;0.9;2.1;115;1998;10;0.29;0.255;0.434;0.711;76;40.8;62.6
10;China;Wudan1, CN;Wudan, Inner Megolia;CHN88;14;0;42.87;118.93;415;363;855;0.9;2.1;87;1988;7;0.262;0.251;0.062;0.887;71;28.4;58.1
11;China;Wudan2, CN;Wudan, Inner Megolia;CHN97;14;0;42.87;118.93;415;363;855;0.9;2.1;87;1997;10;0.3;0.297;0.07;0.794;77;28.4;58.1
12;China;Changwu1, CN;Changwu, Shaanxi;Changwu1;6;2;35.17;107.8;602;514;1005;0.9;1.7;195;2015;7;0.13;0.124;0.02;0.794;64;78.9;75.7
13;China;Changwu2, CN;Changwu, Shaanxi;Changwu2;6;2;35.17;107.8;602;514;1005;0.9;1.7;195;2015;7;0.14;0.14;0.019;0.96;74;78.9;75.7
14;China;Changwu3, CN;Changwu, Shaanxi;Changwu3;6;2;35.17;107.8;602;514;1005;0.9;1.7;195;2015;8;0.15;0.141;0.035;0.918;74;78.9;75.7
15;China;Changwu5, CN;Changwu, Shaanxi;Changwu4;6;2;35.17;107.8;602;514;1005;0.9;1.7;195;2015;7;0.13;0.117;0.066;0.81;71;78.9;75.7
16;South Africa;Kalahari1, ZA;Kalahari;BH7;2;3;-27.22;23.2;471;398;1620;0.8;3.4;49;1977;8;0.59;0.459;1.54;0.867;13;24.2;10.6
17;South Africa;Kalahari2, ZA;Kalahari;BH3;2;3;-27.22;23.2;471;398;1620;0.8;3.4;49;1977;3;0.23;0.245;0.514;0.896;13;24.2;10.6
18;South Africa;Kalahari3, ZA;Kalahari;PA1;2;3;-27.22;23.2;471;398;1620;0.8;3.4;49;1977;8;0.55;0.425;1.168;0.754;9;24.2;10.6
19;South Africa;Kalahari4, ZA;Kalahari;BH9;2;3;-27.22;23.2;471;398;1620;0.8;3.4;49;1977;10;0.7;0.516;3.33;0.574;10;24.2;10.6
20;South Africa;Kalahari5, ZA;Kalahari;BH8;2;3;-27.22;23.2;471;398;1620;0.8;3.4;49;1977;14;0.97;0.833;4.256;0.25;-5;24.2;10.6
21;UK;Norfolk77, UK;Norfolk77;Norfolk77;17;3;52.6;0.88;620;487;645;0.8;1;15;1977;10;0.75;0.739;0.072;0.86;-39;-18.5;-7.0
22;UK;Dorset70a, UK;Dorset70a;Dorset70a;15;2;50.9;-1.98;804;531;692;0.7;0.9;26;1970;7;1.02;0.989;0.106;0.887;-33;-13.5;-34.1
23;UK;Berkshire68, UK;Berkshire68;Berkshire;16;1;51.48;-1.4;706;513;678;0.7;1;45;1968;4;0.85;0.833;0.078;0.874;-5;-1.5;-9.8
24;UK;DorsetLower77, UK;DorsetLower77;Dorset lower;15;2;50.9;-1.98;804;531;692;0.7;0.9;26;1977;11;0.77;0.755;0.131;0.628;-25;-13.5;-34.1
25;UK;DorsetUpper77, UK;DorsetUpper77;Dorset upper;15;2;50.9;-1.98;804;531;692;0.7;0.9;26;1977;10;0.75;0.73;0.119;0.633;-23;-13.5;-34.1
26;Australia;Gambier Pl 1, AU;Gambier Pl;NO2;1;2;-37.67;140.5;748;620;1038;0.8;1.4;25;1975;4;0.32;0.227;1.118;0.33;6;-7.9;-0.1
27;Australia;Gambier Pl 2, AU;Gambier Pl;NO6;1;2;-37.67;140.5;748;620;1038;0.8;1.4;25;1975;1.22;0.1;0.059;0.463;0.564;8;-7.9;-0.1
28;Australia;Gambier Pl 3, AU;Gambier Pl;NO8;1;2;-37.67;140.5;748;620;1038;0.8;1.4;25;1975;5.22;0.44;0.313;2.378;0.49;4;-7.9;-0.1
29;Australia;Gambier Pl 4, AU;Gambier Pl;NO9;1;2;-37.67;140.5;748;620;1038;0.8;1.4;25;1975;4.64;0.39;0.293;0.958;0.903;9;-7.9;-0.1
30;Australia;Gambier Pl 5, AU;Gambier Pl;NO11;1;2;-37.67;140.5;748;620;1038;0.8;1.4;25;1975;2.37;0.2;0.127;0.707;0.707;8;-7.9;-0.1
31;Australia;Gambier Pl 6, AU;Gambier Pl;NO12;1;2;-37.67;140.5;748;620;1038;0.8;1.4;25;1975;3.63;0.3;0.301;3.784;0.578;6;-7.9;-0.1
32;Australia;Gambier Pl 7, AU;Gambier Pl;NO13;1;2;-37.67;140.5;748;620;1038;0.8;1.4;25;1975;3.58;0.3;0.187;1.671;0.819;6;-7.9;-0.1
33;Australia;Gambier Pl 8, AU;Gambier Pl;NO14;1;2;-37.67;140.5;748;620;1038;0.8;1.4;25;1975;0.12;0.01;0.02;1.275;0.816;8;-7.9;-0.1
34;Australia;Gambier Pl 9, AU;Gambier Pl;NO15;1;2;-37.67;140.5;748;620;1038;0.8;1.4;25;1975;9.71;0.81;0.839;6.112;0.686;-34;-7.9;-0.1
35;Australia;Gambier Pl 10, AU;Gambier Pl;NO16;1;2;-37.67;140.5;748;620;1038;0.8;1.4;25;1975;9.39;0.78;0.682;6.157;0.401;-29;-7.9;-0.1
36;UK;Dorset70b, UK;Dorset70b;Dorset2;15;2;50.9;-1.98;804;531;692;0.7;0.9;26;1970;7;0.98;0.965;0.109;0.816;-32;-13.5;-34.1
37;China;Changwu, Shaanxi;farmland-tableland;Changwu5;6;2;35.17;107.8;602;514;1005;0.9;1.7;195;2015;7;0.136;0.128;0.06;0.82;71;78.9;75.7
38;China;Qingjian, Shaanxi;Jujube 6 yrs;Qingjian1;11;0;37.17;110.25;497;425;1104;0.9;2.2;222;2015;9.51;0.18;0.18;0.04;0.69;81;87.5;79.5
39;China;Qingjian, Shaanxi;Jujube 16 yrs;Qingjian2;11;0;37.17;110.25;497;425;1104;0.9;2.2;222;2015;11.3;0.22;0.2;0.15;0.77;78;87.5;79.5
40;China;Qingjian, Shaanxi;Grass 7 yrs;Qingjian3;11;0;37.17;110.25;497;425;1104;0.9;2.2;222;2015;10.05;0.19;0.19;0.08;0.77;80;87.5;79.5
41;China;Qingjian, Shaanxi;Grass 16 yrs;Qingjian4;11;0;37.17;110.25;497;425;1104;0.9;2.2;222;2015;11.35;0.22;0.21;0.11;0.7;75;87.5;79.5
42;China;Luochuan, Shaanxi;Apple 24yrs;Luochuan;8;0;35.83;109.5;546;467;1024;0.9;1.9;104;2015;8.16;0.16;0.15;0.06;0.82;73;35.2;60.0
43;China;Shenmu, Shaanxi;Grass 15yr;Shenmu;13;3;38.8;110.37;441;379;1032;0.9;2.3;122;2017;11.45;0.21;0.21;0.03;0.76;83;44.3;64.4
44;China;Xifeng,Gansu;XZ1;Xifeng;7;1;35.5;107.65;495;425;982;0.9;2;152;2018;7.21;0.13;0.08;0.44;0.16;55;57.4;68.3
