No;SiteUniID;Lat;Lon;p_mmpyr;pet_mmpyr;dwt_m;Applicability_tau_yr;pet_p_ratio;check_pet_p*
26;1;-37.67;140.5;750;1037;24.672;6;1.382666667;0.000000E+00
27;1;-37.67;140.5;750;1037;24.672;6;1.382666667;0.000000E+00
28;1;-37.67;140.5;750;1037;24.672;4;1.382666667;0.000000E+00
29;1;-37.67;140.5;750;1037;24.672;9;1.382666667;0.000000E+00
30;1;-37.67;140.5;750;1037;24.672;8;1.382666667;0.000000E+00
31;1;-37.67;140.5;750;1037;24.672;9;1.382666667;0.000000E+00
32;1;-37.67;140.5;750;1037;24.672;6;1.382666667;0.000000E+00
33;1;-37.67;140.5;750;1037;24.672;3;1.382666667;0.000000E+00
34;1;-37.67;140.5;750;1037;24.672;-14;1.382666667;0.000000E+00
35;1;-37.67;140.5;750;1037;24.672;-15;1.382666667;0.000000E+00
16;2;-27.22;23.2;466;1625;48.900;13;3.487124464;0.000000E+00
17;2;-27.22;23.2;466;1625;48.900;7;3.487124464;0.000000E+00
18;2;-27.22;23.2;466;1625;48.900;9;3.487124464;0.000000E+00
19;2;-27.22;23.2;466;1625;48.900;10;3.487124464;0.000000E+00
20;2;-27.22;23.2;466;1625;48.900;-16;3.487124464;0.000000E+00
5;3;15.7;-16.32;345;1753;34.221;26;5.08115942;0.000000E+00
7;4;34.45;-117.33;556;1356;76.767;12;2.438848921;0.000000E+00
2;5;34.62;32.97;426;1299;12.671;-42;3.049295775;0.000000E+00
12;6;35.17;107.8;602;1005;194.821;63;1.669435216;0.000000E+00
13;6;35.17;107.8;602;1005;194.821;74;1.669435216;0.000000E+00
14;6;35.17;107.8;602;1005;194.821;74;1.669435216;0.000000E+00
15;6;35.17;107.8;602;1005;194.821;71;1.669435216;0.000000E+00
37;6;35.17;107.8;602;1005;194.821;71;1.669435216;0.000000E+00
44;7;35.5;107.65;497;983;151.601;55;1.977867203;0.000000E+00
42;8;35.83;109.5;546;1024;104.420;74;1.875457875;0.000000E+00
6;9;36.77;-116.7;143;1398;140.407;74;9.776223776;0.000000E+00
3;10;36.93;-116.48;186;1307;623.616;36;7.02688172;0.000000E+00
4;10;36.93;-116.48;186;1307;623.616;39;7.02688172;0.000000E+00
38;11;37.17;110.25;497;1104;222.150;81;2.221327968;0.000000E+00
39;11;37.17;110.25;497;1104;222.150;78;2.221327968;0.000000E+00
40;11;37.17;110.25;497;1104;222.150;79;2.221327968;0.000000E+00
41;11;37.17;110.25;497;1104;222.150;75;2.221327968;0.000000E+00
8;12;37.68;113.68;495;1043;115.499;68;2.107070707;0.000000E+00
9;12;37.68;113.68;495;1043;115.499;76;2.107070707;0.000000E+00
43;13;38.8;110.37;412;974;121.500;83;2.36407767;0.000000E+00
10;14;42.87;118.93;415;855;86.638;71;2.060240964;0.000000E+00
11;14;42.87;118.93;415;855;86.638;77;2.060240964;0.000000E+00
22;15;50.9;-1.98;804;692;25.771;-33;0.860696517;0.000000E+00
24;15;50.9;-1.98;804;692;25.771;-25;0.860696517;0.000000E+00
25;15;50.9;-1.98;804;692;25.771;-24;0.860696517;0.000000E+00
36;15;50.9;-1.98;804;692;25.771;-32;0.860696517;0.000000E+00
1;16;51.48;-1.4;706;678;45.348;-3;0.960339943;0.000000E+00
23;16;51.48;-1.4;706;678;45.348;-5;0.960339943;0.000000E+00
21;17;52.6;0.88;600;655;15.012;-39;1.091666667;0.000000E+00
