No,Country,SiteID,SiteUniID,aet_p,pet_p,dwt,peak_v,cxtfit_v,cxtfit_D,cxtfit_R2,Applicability_tau
1,UK,UK,16,0.73,0.96,45.3,0.832,0.805,0.109,0.77,-2.7
2,Cyprus,AK3,5,0.85,3.05,12.7,0.72,0.675,0.844,0.72,-41.6
3,USA,UZ#4,10,0.87,7.03,623.6,2.56,2.336,2.857,0.93,36
4,USA,UZ#5,10,0.87,7.03,623.6,1.34,1.32,1.195,0.66,39
5,Senegal,L22,3,0.84,5.08,34.2,0.41,0.401,0.121,0.89,25.6
6,USA,UZB-1,9,0.86,9.78,140.4,0.71,0.648,2.389,0.94,74
7,USA,LOGW-1,4,0.81,2.44,76.8,0.39,0.304,1.483,0.36,12
8,China,CHN85,12,0.86,2.11,115.5,0.267,0.251,0.079,0.93,68
9,China,CHN98,12,0.86,2.11,115.5,0.29,0.256,0.413,0.71,76
10,China,CHN88,14,0.87,2.06,86.6,0.262,0.252,0.058,0.89,71
11,China,CHN97,14,0.87,2.06,86.6,0.3,0.298,0.069,0.79,77
12,China,Changwu1,6,0.85,1.67,194.8,0.13,0.124,0.02,0.79,63
13,China,Changwu2,6,0.85,1.67,194.8,0.14,0.14,0.018,0.96,74
14,China,Changwu3,6,0.85,1.67,194.8,0.15,0.141,0.034,0.92,74
15,China,Changwu4,6,0.85,1.67,194.8,0.13,0.118,0.061,0.81,71
16,South Africa,BH7,2,0.85,3.49,48.9,0.59,0.526,1.205,0.84,13
17,South Africa,BH3,2,0.85,3.49,48.9,0.23,0.41,0.396,0.92,7
18,South Africa,PA1,2,0.85,3.49,48.9,0.55,0.505,0.742,0.73,9
19,South Africa,BH9,2,0.85,3.49,48.9,0.7,0.629,1.992,0.64,10
20,South Africa,BH8,2,0.85,3.49,48.9,0.97,1.126,1.364,0.74,-16.5
21,UK,Norfolk77,17,0.81,1.09,15,0.75,0.739,0.072,0.86,-38.8
22,UK,Dorset70a,15,0.66,0.86,25.8,1.02,0.995,0.096,0.89,-33.2
23,UK,Berkshire,16,0.73,0.96,45.3,0.85,0.837,0.074,0.87,-5
24,UK,Dorset lower,15,0.66,0.86,25.8,0.77,0.762,0.107,0.63,-25.3
25,UK,Dorset upper,15,0.66,0.86,25.8,0.75,0.737,0.097,0.63,-24.2
26,Australia,NO2,1,0.83,1.38,11.8,0.32,0.179,2.269,0.28,-10.2
27,Australia,NO6,1,0.83,1.38,11.8,0.1,0.095,0.494,0.51,6
28,Australia,NO8,1,0.83,1.38,11.8,0.44,0.256,0.799,0.59,-19
29,Australia,NO9,1,0.83,1.38,11.8,0.39,0.296,0.944,0.9,-24.3
30,Australia,NO11,1,0.83,1.38,11.8,0.2,0.205,0.339,0.91,-4.4
31,Australia,NO12,1,0.83,1.38,11.8,0.3,0.298,4.123,0.63,-6.8
32,Australia,NO13,1,0.83,1.38,11.8,0.3,0.233,1.333,0.8,-16.7
33,Australia,NO14,1,0.83,1.38,11.8,0.01,0.247,0.523,0.82,-15.8
34,Australia,NO15,1,0.83,1.38,11.8,0.81,0.509,1.459,0.92,-38.7
35,Australia,NO16,1,0.83,1.38,11.8,0.78,0.602,2.857,0.84,-38.9
36,UK,Dorset2,15,0.66,0.86,25.8,0.98,0.966,0.105,0.82,-31.5
37,China,Changwu5,6,0.85,1.67,194.8,0.136,0.13,0.052,0.82,71
38,China,Qingjian1,11,0.86,2.22,290.9,0.18,0.181,0.046,0.79,81
39,China,Qingjian2,11,0.86,2.22,290.9,0.22,0.203,0.136,0.77,78
40,China,Qingjian3,11,0.86,2.22,290.9,0.19,0.187,0.07,0.77,79
41,China,Qingjian4,11,0.86,2.22,290.9,0.22,0.211,0.093,0.8,75
42,China,Luochuan,8,0.86,1.88,143,0.16,0.15,0.056,0.82,74
43,China,Shenmu,13,0.87,2.36,121.5,0.21,0.207,0.028,0.76,83
44,China,Xifeng,7,0.86,1.98,221.7,0.13,0.095,0.303,0.16,55
